presion,alture,altitud_sobre_nivel_mar,hora,visible_image,thermal_image
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_07_715200'.jpg,images/b'flir_visible_image_2023_05_26_14_47_07_715200'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_07_889455'.jpg,images/b'flir_visible_image_2023_05_26_14_47_07_889455'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_08_030507'.jpg,images/b'flir_visible_image_2023_05_26_14_47_08_030507'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_08_177311'.jpg,images/b'flir_visible_image_2023_05_26_14_47_08_177311'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_08_322109'.jpg,images/b'flir_visible_image_2023_05_26_14_47_08_322109'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_08_476026'.jpg,images/b'flir_visible_image_2023_05_26_14_47_08_476026'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_08_621506'.jpg,images/b'flir_visible_image_2023_05_26_14_47_08_621506'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_08_773038'.jpg,images/b'flir_visible_image_2023_05_26_14_47_08_773038'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_08_994808'.jpg,images/b'flir_visible_image_2023_05_26_14_47_08_994808'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_09_142838'.jpg,images/b'flir_visible_image_2023_05_26_14_47_09_142838'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_09_295438'.jpg,images/b'flir_visible_image_2023_05_26_14_47_09_295438'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_09_434678'.jpg,images/b'flir_visible_image_2023_05_26_14_47_09_434678'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_09_645935'.jpg,images/b'flir_visible_image_2023_05_26_14_47_09_645935'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
