presion,presion_over_floor,temperature,altitude_over_sea_level_lib_bmp280,altitud_over_sea_level_lib_adafruit,altitud_over_sea_level_calculada,calculate_abs_alture,calculate_abs_alture_diff_lib_bmp280,calculate_abs_alture_diff_lib_adafruit,time
993.01085,991.25418,24.80779,176.27338,169.88407,170.56695,-14.9681,-20.24395,-14.87706,"07/25/2023, 13:58:26"
993.01356,991.25418,24.8084,176.24981,169.8611,170.54384,-14.99121,-20.26752,-14.90003,"07/25/2023, 13:58:26"
993.01867,991.25418,24.8084,176.20479,169.81788,170.50036,-15.03469,-20.31254,-14.94326,"07/25/2023, 13:58:27"
993.02309,991.25418,24.80901,176.16622,169.7805,170.46275,-15.07229,-20.35111,-14.98064,"07/25/2023, 13:58:27"
993.01798,991.25418,24.80901,176.21124,169.82372,170.50623,-15.02881,-20.30609,-14.93741,"07/25/2023, 13:58:28"
993.01849,991.25418,24.80931,176.20696,169.81943,170.50193,-15.03312,-20.31037,-14.9417,"07/25/2023, 13:58:28"
993.01849,991.25418,24.80931,176.20696,169.81943,170.50193,-15.03312,-20.31037,-14.9417,"07/25/2023, 13:58:29"
993.01457,991.25418,24.80901,176.24125,169.85253,170.53522,-14.99982,-20.27608,-14.9086,"07/25/2023, 13:58:29"
993.01559,991.25418,24.80961,176.23269,169.84397,170.5266,-15.00844,-20.28464,-14.91717,"07/25/2023, 13:58:30"
993.0149,991.25418,24.81022,176.23913,169.84981,170.53248,-15.00256,-20.2782,-14.91132,"07/25/2023, 13:58:30"
993.0154,991.25418,24.81053,176.23485,169.84553,170.52817,-15.00687,-20.28248,-14.91561,"07/25/2023, 13:58:31"
993.01761,991.25418,24.81083,176.21556,169.82684,170.50937,-15.02567,-20.30177,-14.9343,"07/25/2023, 13:58:31"
993.02594,991.25418,24.81174,176.14269,169.75636,170.43847,-15.09657,-20.37464,-15.00477,"07/25/2023, 13:58:32"
993.02833,991.25418,24.81113,176.12124,169.73611,170.4181,-15.11694,-20.39609,-15.02502,"07/25/2023, 13:58:32"
993.02714,991.25418,24.81144,176.13197,169.74623,170.42829,-15.10675,-20.38536,-15.0149,"07/25/2023, 13:58:33"
993.02714,991.25418,24.81144,176.13197,169.74623,170.42829,-15.10675,-20.38536,-15.0149,"07/25/2023, 13:58:33"
993.02663,991.25418,24.81113,176.13625,169.75052,170.4326,-15.10245,-20.38108,-15.01062,"07/25/2023, 13:58:34"
993.02373,991.25418,24.81144,176.16198,169.77505,170.45728,-15.07777,-20.35535,-14.98608,"07/25/2023, 13:58:34"
993.02051,991.25418,24.81053,176.18983,169.8023,170.48469,-15.05035,-20.3275,-14.95883,"07/25/2023, 13:58:35"
993.02543,991.25418,24.81144,176.14697,169.76064,170.44278,-15.09226,-20.37036,-15.00049,"07/25/2023, 13:58:35"
993.02304,991.25418,24.81204,176.16842,169.78089,170.46315,-15.07189,-20.34891,-14.98024,"07/25/2023, 13:58:36"
993.02525,991.25418,24.81235,176.14914,169.7622,170.44435,-15.09069,-20.36819,-14.99893,"07/25/2023, 13:58:36"
993.01674,991.25418,24.81235,176.22417,169.83424,170.51682,-15.01823,-20.29316,-14.9269,"07/25/2023, 13:58:37"
993.01844,991.25418,24.81235,176.20916,169.81983,170.50232,-15.03272,-20.30817,-14.9413,"07/25/2023, 13:58:37"
993.01844,991.25418,24.81235,176.20952,169.81983,170.50232,-15.03272,-20.30781,-14.9413,"07/25/2023, 13:58:38"
993.01945,991.25418,24.81295,176.2006,169.81126,170.49371,-15.04134,-20.31673,-14.94987,"07/25/2023, 13:58:38"
993.02557,991.25418,24.81356,176.14702,169.75948,170.44161,-15.09343,-20.37031,-15.00166,"07/25/2023, 13:58:39"
993.02626,991.25418,24.81295,176.14057,169.75363,170.43573,-15.09931,-20.37676,-15.0075,"07/25/2023, 13:58:39"
993.02967,991.25418,24.81295,176.11056,169.72482,170.40675,-15.1283,-20.40677,-15.03631,"07/25/2023, 13:58:40"
993.02746,991.25418,24.81265,176.12985,169.74351,170.42555,-15.10949,-20.38748,-15.01762,"07/25/2023, 13:58:40"
993.03514,991.25418,24.81113,176.06121,169.67848,170.36013,-15.17491,-20.45612,-15.08265,"07/25/2023, 13:58:41"
993.03634,991.25418,24.81083,176.05049,169.66835,170.34995,-15.1851,-20.46684,-15.09278,"07/25/2023, 13:58:41"
993.03174,991.25418,24.81113,176.09123,169.70729,170.38912,-15.14593,-20.4261,-15.05384,"07/25/2023, 13:58:42"
993.03192,991.25418,24.81022,176.08906,169.70573,170.38755,-15.14749,-20.42827,-15.0554,"07/25/2023, 13:58:42"
993.03192,991.25418,24.81022,176.08906,169.70573,170.38755,-15.14749,-20.42827,-15.0554,"07/25/2023, 13:58:43"
993.03381,991.25418,24.80931,176.0719,169.68977,170.37149,-15.16356,-20.44543,-15.07136,"07/25/2023, 13:58:43"
993.03192,991.25418,24.81022,176.08906,169.70573,170.38755,-15.14749,-20.42827,-15.0554,"07/25/2023, 13:58:44"
993.03073,991.25418,24.81053,176.09979,169.71586,170.39773,-15.13731,-20.41754,-15.04527,"07/25/2023, 13:58:44"
993.02511,991.25418,24.81022,176.14909,169.76336,170.44552,-15.08952,-20.36824,-14.99777,"07/25/2023, 13:58:45"
993.02953,991.25418,24.81083,176.11052,169.72598,170.40792,-15.12712,-20.40682,-15.03515,"07/25/2023, 13:58:45"
993.02833,991.25418,24.81113,176.12124,169.73611,170.4181,-15.11694,-20.39609,-15.02502,"07/25/2023, 13:58:46"
993.02985,991.25418,24.81204,176.1084,169.72326,170.40518,-15.12986,-20.40893,-15.03787,"07/25/2023, 13:58:46"
993.02884,991.25418,24.81144,176.11696,169.73183,170.4138,-15.12125,-20.40037,-15.02931,"07/25/2023, 13:58:47"
993.02884,991.25418,24.81144,176.11696,169.73183,170.4138,-15.12125,-20.40037,-15.02931,"07/25/2023, 13:58:47"
993.02562,991.25418,24.81053,176.14481,169.75908,170.44121,-15.09383,-20.37252,-15.00205,"07/25/2023, 13:58:48"
993.02051,991.25418,24.81053,176.18983,169.8023,170.48469,-15.05035,-20.3275,-14.95883,"07/25/2023, 13:58:48"
993.02272,991.25418,24.81083,176.17054,169.78361,170.46589,-15.06915,-20.34679,-14.97752,"07/25/2023, 13:58:49"
993.02562,991.25418,24.81053,176.14481,169.75908,170.44121,-15.09383,-20.37252,-15.00205,"07/25/2023, 13:58:49"
993.02392,991.25418,24.81053,176.15982,169.77349,170.45571,-15.07934,-20.35751,-14.98764,"07/25/2023, 13:58:50"
993.02594,991.25418,24.81174,176.14269,169.75636,170.43847,-15.09657,-20.37464,-15.00477,"07/25/2023, 13:58:50"
993.02424,991.25418,24.81174,176.1577,169.77077,170.45297,-15.08208,-20.35963,-14.99037,"07/25/2023, 13:58:51"
993.02424,991.25418,24.81174,176.1577,169.77077,170.45297,-15.08208,-20.35963,-14.99037,"07/25/2023, 13:58:51"
993.02424,991.25418,24.81174,176.1577,169.77077,170.45297,-15.08208,-20.35963,-14.99037,"07/25/2023, 13:58:52"
993.01913,991.25418,24.81174,176.20272,169.81399,170.49645,-15.0386,-20.31461,-14.94714,"07/25/2023, 13:58:52"
993.02322,991.25418,24.81113,176.16626,169.77933,170.46158,-15.07346,-20.35107,-14.9818,"07/25/2023, 13:58:53"
993.01812,991.25418,24.81113,176.21128,169.82255,170.50506,-15.02998,-20.30605,-14.93858,"07/25/2023, 13:58:54"
993.01421,991.25418,24.81083,176.24558,169.85565,170.53836,-14.99669,-20.27175,-14.90548,"07/25/2023, 13:58:54"
993.0125,991.25418,24.81083,176.26059,169.87006,170.55285,-14.98219,-20.25674,-14.89107,"07/25/2023, 13:58:55"
993.01131,991.25418,24.81113,176.27131,169.88018,170.56304,-14.97201,-20.24602,-14.88095,"07/25/2023, 13:58:55"
993.01232,991.25418,24.81174,176.26275,169.87162,170.55442,-14.98062,-20.25458,-14.88951,"07/25/2023, 13:58:56"
993.01232,991.25418,24.81174,176.26275,169.87162,170.55442,-14.98062,-20.25458,-14.88951,"07/25/2023, 13:58:56"
